F_MASV,F_MAMH,F_NHHK,F_DIEM4
68440.0,1334.0,20201,3.5
68262.0,1234.0,20201,2.0
68341.0,1327.0,20201,1.5
73715.0,1328.0,20201,2.5
68389.0,1234.0,20201,2.5
73724.0,1339.0,20201,3.0
68282.0,1236.0,20201,3.5
68471.0,1288.0,20201,3.0
68389.0,1317.0,20201,1.5
73781.0,1335.0,20201,2.5
68476.0,1285.0,20201,3.0
75310.0,1567.0,20201,2.0
81855.0,4289.0,20201,3.0
73484.0,1143.0,20201,1.0
68718.0,377.0,20201,3.5
60262.0,339.0,20201,4.0
54939.0,1173.0,20201,3.0
71080.0,4895.0,20201,3.0
67432.0,2857.0,20201,3.5
67074.0,3304.0,20201,3.5
67454.0,2962.0,20201,3.5
70950.0,997.0,20201,0.0
74320.0,2715.0,20201,4.0
67046.0,2823.0,20201,3.0
70950.0,1682.0,20201,2.0
73113.0,971.0,20201,3.5
69365.0,313.0,20201,3.5
80228.0,1453.0,20201,3.0
79963.0,1414.0,20201,3.5
80282.0,1457.0,20201,4.0
80383.0,1520.0,20201,4.0
80055.0,1445.0,20201,3.0
80043.0,1440.0,20201,3.5
76301.0,1451.0,20201,3.5
65443.0,1017.0,20201,3.5
65482.0,1017.0,20201,3.5
62342.0,1023.0,20201,4.0
64245.0,1338.0,20201,3.0
60300.0,178.0,20201,3.5
81618.0,4366.0,20201,3.5
56347.0,4577.0,20201,3.0
56387.0,4762.0,20201,4.0
55577.0,4298.0,20201,3.5
53710.0,1565.0,20201,2.0
65775.0,4274.0,20201,3.5
65767.0,1439.0,20201,3.0
41867.0,4462.0,20201,3.5
48648.0,2323.0,20201,3.5
50487.0,2518.0,20201,3.5
62102.0,1436.0,20201,4.0
56927.0,1653.0,20201,4.0
59474.0,1394.0,20201,2.5
53713.0,1481.0,20201,3.5
63570.0,1710.0,20201,3.5
57457.0,1403.0,20201,0.0
54923.0,388.0,20201,2.0
65625.0,551.0,20201,1.5
68455.0,1322.0,20201,3.5
73692.0,1237.0,20201,2.5
73717.0,1349.0,20201,3.5
73757.0,1322.0,20201,4.0
71131.0,4896.0,20201,2.0
66809.0,3315.0,20201,1.5
89674.0,1522.0,20201,3.5
69791.0,2521.0,20201,3.5
93994.0,1651.0,20201,3.0
69656.0,3922.0,20201,3.0
70186.0,3490.0,20201,3.5
68819.0,377.0,20201,3.0
68020.0,1653.0,20201,3.0
72404.0,4425.0,20201,3.0
68014.0,1586.0,20201,3.0
72375.0,4821.0,20201,3.0
71193.0,4762.0,20201,3.5
71016.0,4747.0,20201,3.5
72895.0,2323.0,20201,3.5
69830.0,2354.0,20201,4.0
72904.0,2323.0,20201,4.0
71713.0,3491.0,20201,4.0
66998.0,2099.0,20201,3.5
73318.0,850.0,20201,2.0
74073.0,815.0,20201,3.0
74072.0,997.0,20201,2.0
73388.0,837.0,20201,2.5
71483.0,923.0,20201,2.0
68504.0,1234.0,20201,2.5
68479.0,1353.0,20201,3.0
68410.0,1347.0,20201,4.0
68354.0,1349.0,20201,4.0
73883.0,3749.0,20201,1.0
70299.0,3728.0,20201,4.0
67369.0,2886.0,20201,3.5
73008.0,961.0,20201,3.0
73225.0,1146.0,20201,3.5
71381.0,573.0,20201,4.0
68788.0,1151.0,20201,4.0
69059.0,462.0,20201,2.0
69152.0,574.0,20201,3.0
69130.0,421.0,20201,3.5
69179.0,499.0,20201,3.0
69153.0,484.0,20201,3.5
73394.0,1113.0,20201,0.0
61353.0,3801.0,20201,2.0
50590.0,1402.0,20201,1.5
62460.0,1583.0,20201,0.0
62460.0,1616.0,20201,3.0
56496.0,1297.0,20201,3.0
68635.0,1894.0,20201,1.5
73819.0,1996.0,20201,3.0
80378.0,1455.0,20201,3.0
76311.0,3491.0,20201,4.0
67187.0,1682.0,20201,2.5
